The one item I have placed the return request but not going to pickup and there is another item not going to delive… https://t.co/pJ5DNBVLVl
RT @ImShantanu: What the nonsense is going on...
are you fucking kidding with me..
@Flipkart @flipkartsupport @WorkAtFlipkart @FlipkartStor…
RT @SwamiGeetika: @TajinderBagga @RiaRevealed @Flipkart Not the first time she deletes her tweet, earlier when this AIPC member Andria D'So…
RT @kodaktvindia: Get your Kodak HD LED TV during this festive season from @Flipkart during #JingleDays and switch to a smarter technology.…
@kodaktvindia @Flipkart @kodaktvindia @Flipkart awesome 👌👌👌👌👌👌👌👌❤
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @praveendel: Amazon-Flipkart .. Habitual law offenders, Experts in Tax Avoidance, Monopolising market is USP, Excellence in killing dome…
@amazonIN @amazon you guys have the worst customer care executives ever! Never got a resolution for my reported iss… https://t.co/OTR72Buj5p
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
Purchased Boat Headphones and found defect in it within 3 month where it is having warranty of 1 year.

@Boat… https://t.co/gSguVKEEm1
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@RujutaDiwekar @Flipkart Hello Mam, I am in Canada, how do I get a copy?
RT @sarthakgh: “Over 90% of the small and medium businesses we spoke to in a recent survey sell directly through WhatsApp in India — more t…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
https://t.co/NUwD0BKd3n.
            
Hi there! 

Good news for traders

Free trading account till 31 December

Fre… https://t.co/CI4I6UHcuK
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
Flipkart provided this shoe as the name of Nike retaliation shoe. Frauded by flipkart and am trying to return it fr… https://t.co/P5d2L3iR6g
@delhichatter @TajinderBagga Main toh ek ko janta hoon jisne Flipkart ke Big Billion Days ke tweet ke liye diya tha
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
RT @Dikshapandey22: Dear @delhivery @help_delhivery I have booked a Smart phone from @flipkartsupport ur delivery boy have no manner to tal…
RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
@flipkartsupport @Flipkart You guys are useless. Just by reverting you think you gave proper solution. Earliest mea… https://t.co/aCBlnxMetB
I got sports brand(local) shoe with Nike box for Nike retaliation shoe. From 6th of Dec am trying to return it. Eka… https://t.co/kj7TBcrpjP
@sumitagarwal_82 @AimraMp @Vivo_India @TEAMCAIT @AimraIndia @praveendel Yes, but will this stop Amazon or Flipkart… https://t.co/4Uu5lm4hby
@Flipkart just chk flipkart ur cheating MRP is 499 , ur price Rs 999 after discount coat Rs 599 ....

such a big qu… https://t.co/TTiGBplMAv
@MiTVIndia @amazonIN @Flipkart Hi, When can we expect MITV 5 Pro in India?
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है… https://t.co/mjIf74Jr0g
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart So be it the only resolution of 2020. I am not gonna buy anything from flipkart ever again #flipkartfraud… https://t.co/SoQ5RB1qVC
I wonder if any Indian has ever used @myntra, @Flipkart discount offers on their wishlists.
#holidayseason #onlinesale
